date,total_pnl_usd,avg_pnl_usd,total_volume_usd,trade_count,avg_trade_size_usd,pnl_volatility,unique_traders,buy_volume_usd,sell_volume_usd,buy_sell_ratio,timestamp,value,classification
2023-01-05,0.0,0.0,477.0,3,159.0,0.0,1,477.0,0.0,1.0,1672896600,29,Fear
2023-05-12,0.0,0.0,50005.83,9,5556.203333333334,0.0,1,25007.21,24998.62,1.000343618967767,1683869400,49,Neutral
2024-01-01,-129.53146,-7.196192222222223,264239.52999999997,18,14679.973888888888,85.84776860469921,1,132184.58,132054.95,1.0009816368110394,1704087000,65,Greed
2024-01-02,0.0,0.0,2008.18,6,334.69666666666666,0.0,1,2008.18,0.0,1.0,1704173400,71,Greed
2024-01-03,8244.241409,60.176944591240876,472974.7,137,3452.370072992701,111.95860869453276,1,232365.24,240609.46,0.9657360936681376,1704259800,70,Greed
2024-01-04,2507.963406,32.57095332467532,339470.47,77,4408.7074025974025,92.06770180124278,2,226977.47,112493.0,2.0177030570791072,1704346200,68,Greed
2024-01-05,0.0,0.0,87025.45,14,6216.103571428571,0.0,1,87025.45,0.0,1.0,1704432600,72,Greed
2024-01-06,91.510419,3.66041676,12834.62,25,513.3848,7.909299454844354,1,6371.530000000001,6463.09,0.985833401670099,1704519000,70,Greed
2024-01-07,5065.839308,79.1537391875,362670.14999999997,64,5666.721093749999,207.33447463371925,2,18397.62,344272.52999999997,0.053439116969338216,1704605400,71,Greed
2024-01-08,167.080017,2.9312283684210527,227774.53,57,3996.044385964912,23.197203266011744,4,215603.36000000002,12171.17,17.714267404037574,1704691800,71,Greed
2024-01-09,137.433093,11.452757750000002,12359.68,12,1029.9733333333334,25.479618769976113,1,7860.6900000000005,4498.99,1.7472121520607962,1704778200,76,Extreme Greed
2024-01-10,0.0,0.0,139954.32,4,34988.58,0.0,1,139954.32,0.0,1.0,1704864600,73,Greed
2024-01-11,1040.475736,45.238075478260875,260981.03,23,11347.001304347827,154.1983753462747,2,144964.23,116016.8,1.2495106743161335,1704951000,76,Extreme Greed
2024-01-12,40886.364494,98.28453003365385,814711.82,416,1958.441875,338.03944268346726,9,340018.24,474693.58,0.7162899485600794,1705037400,71,Greed
2024-02-01,783.979116,46.11641858823529,121348.74,17,7138.1611764705885,134.42834386429288,1,60282.32000000001,61066.42,0.9871598826327138,1706765400,63,Greed
2024-02-02,456.423473,10.867225547619048,474278.43,42,11292.343571428572,41.93124714430262,1,235899.96,238378.47,0.989602626445249,1706851800,63,Greed
2024-02-03,230.90060000000005,7.448406451612905,63197.56,31,2038.6309677419354,250.64780257055287,2,32233.28,30964.28,1.040982706525067,1706938200,60,Greed
2024-02-04,883.760812,21.555141756097562,239664.50999999998,41,5845.475853658536,78.23542802217051,2,41398.31,198266.19999999998,0.2088016515170009,1707024600,60,Greed
2024-02-06,192.906947,2.074268247311828,29464.51,93,316.822688172043,4.425015055071825,1,10703.07,18761.44,0.5704823297145635,1707197400,64,Greed
2024-02-07,2421.253116,134.514062,33347.47,18,1852.6372222222224,226.36405308073617,1,32849.02,498.45,65.90233724546093,1707283800,62,Greed
2024-02-08,782.3681909999999,12.418542714285714,396320.37,63,6290.799523809524,44.14907581961201,3,330999.71,65320.66,5.067305045601192,1707370200,66,Greed
2024-02-09,0.0,0.0,30000.42,2,15000.21,0.0,1,30000.42,0.0,1.0,1707456600,72,Greed
2024-02-10,0.0,0.0,99954.34,4,24988.585,0.0,1,99954.34,0.0,1.0,1707543000,74,Greed
